sigma,nn_accuracy,attractor_distance,cosine_same,cosine_diff
0.05,1.0,0.2533,0.8037,0.0045
0.15,1.0,0.7599,0.3545,0.0019
0.3,0.23,1.5198,0.1219,0.0006
0.5,0.02,2.5329,0.0469,0.0002
0.75,0.005,3.7994,0.0207,0.0001
1.0,0.0033,5.0659,0.0112,0.0
1.5,0.0033,7.5988,0.0043,0.0
2.0,0.0017,10.1317,0.0018,0.0
